q0,q1,q2,q3,q4,q5,q6
-0.0372862,-0.591833,0.0427649,-2.30861,0.0060572,1.70248,0.784223
-0.0196571,-0.569426,0.0217523,-2.28798,-0.025149,1.67079,0.752499
-0.0499256,-0.568847,0.32302,-2.34303,-0.0202394,1.6813,0.75646
-0.88269,-0.991445,1.16376,-2.19796,0.598768,1.60716,0.228684
-0.48235,-0.537023,1.10536,-2.22451,0.244647,1.88076,0.677004
0.291404,-0.569357,0.605137,-2.44965,-0.101072,1.69667,0.531316
0.473074,0.202918,0.0851882,-1.89432,-0.336061,1.6834,0.38285
0.367825,0.324014,0.0826942,-1.98232,-0.400772,1.80788,0.381414
0.315818,0.270831,0.0819964,-2.13485,-0.418402,2.05687,0.379368
0.014562,0.16867,0.0808867,-1.98684,0.0275661,1.88111,0.529992
-0.0930824,0.24992,0.225324,-1.85922,-0.10154,1.76231,0.462125
-0.205368,0.0324281,-0.120302,-2.03283,0.225278,1.84033,0.267689
0.165102,-0.514611,-0.613464,-2.40526,0.0932189,1.9808,0.268085
0.074116,-0.317874,-0.675663,-2.39179,0.202953,1.949,-0.0684277
0.240443,-0.621362,-0.620533,-2.62418,-0.0306787,2.21465,0.188308
0.340685,-0.787112,-0.643783,-2.82307,-0.0285229,2.21288,0.373295
0.470894,0.400484,-0.426698,-1.86395,0.0923757,1.86005,0.366155
0.2678,0.498527,-0.279422,-1.60943,0.0923853,1.58916,0.493297
0.266294,0.559093,-0.261491,-1.60174,0.0923875,1.68159,0.497266
0.123264,0.46898,-0.2339,-1.60638,0.092329,1.62294,0.724
0.120877,-0.0580005,-0.0764257,-2.20098,0.092343,2.04514,0.705749
0.00720842,0.0223152,0.259105,-2.13146,-0.144816,1.95815,0.741743
0.00288101,-0.034327,0.385236,-2.14019,-0.274141,1.91825,0.69787
-0.0318126,0.14023,0.390273,-2.042,-0.220868,1.78379,0.707336
-0.533583,0.142352,0.389479,-2.10505,0.2329,1.97379,0.295716
-0.537183,0.330814,0.543147,-1.92531,0.0268062,1.8595,0.587305
-0.673158,0.307472,0.641104,-1.9694,-0.0732199,1.92214,0.506472
-0.782665,-0.00409033,0.980282,-2.25275,-0.0700151,2.05057,0.336309
-1.19434,-0.384483,1.22889,-2.02512,0.38956,1.81513,0.349424
-0.0405009,-0.441573,0.0319213,-2.01633,-0.014936,1.56932,0.406042
-0.235816,-0.438166,-0.00498687,-1.96495,0.149124,1.57714,0.19695
-0.28406,-0.703029,-0.0134109,-2.1023,0.149532,1.60845,0.193517
-0.42425,-0.841129,0.315741,-2.10615,0.128158,1.59198,0.215746
-0.665076,-1.0552,0.590924,-2.15282,0.154461,1.52639,0.22063
-0.227807,-0.802766,0.573233,-2.16806,-0.103403,1.53108,0.411197
-0.0925327,0.0508443,0.154554,-1.64552,-0.134553,1.40667,0.47339
-0.140395,0.0195437,0.319637,-1.69645,-0.119946,1.48751,0.488452
-0.394239,-0.0659927,0.372884,-1.71884,0.161667,1.53751,0.392601
-0.000277065,-0.785585,0.000180239,-2.35607,0.000333923,1.57031,0.784988
