q0,q1,q2,q3,q4,q5,q6
-1.4067,-1.11069,1.66861,-2.37646,1.63436,3.02177,0.209308
-1.42316,-1.38024,1.68138,-2.15776,1.63379,3.02084,0.649935
-1.53245,-1.50374,1.63368,-2.25835,1.6338,3.02081,0.556693
1.50287,-1.0171,-1.55604,-2.16924,0.624412,3.01952,-1.04881
1.66934,-1.58024,-1.51623,-2.2883,0.468628,3.1133,-1.2406
1.69715,-1.72885,-1.6451,-1.79775,-0.0297169,3.0974,-1.3335
1.74703,-1.74686,-1.67705,-1.97856,-0.0281801,3.11753,-1.19209
1.83421,-1.75539,-1.69895,-2.28534,-0.0303015,3.69814,-1.03578
1.82664,-1.34299,-1.76167,-2.43425,0.385388,3.72829,-1.03074
1.86953,-1.60289,-1.91897,-2.02364,-0.18326,3.66756,-0.973197
2.12114,-1.7017,-1.62466,-2.41883,-0.183325,3.72157,-0.153658
1.9799,-1.69714,-1.63041,-2.43019,-0.181827,3.71975,-0.411559
1.92058,-1.70793,-1.48216,-2.23154,-0.238695,3.67697,-0.614199
1.59819,-0.958073,-1.77371,-2.27611,-0.265529,3.56614,-0.419148
1.6843,-1.38077,-1.52106,-2.15968,-0.284274,3.32943,-0.837556
2.06182,-1.73676,-1.55527,-2.35943,-0.234413,3.67802,-0.229663
2.0712,-1.75037,-1.69444,-2.38563,-0.106203,3.64859,-0.120046
2.09603,-1.75957,-1.73724,-2.50701,-0.16642,3.69236,-0.264938
2.06753,-1.53268,-1.92595,-2.55548,-0.166238,3.69237,-0.201204
2.02108,-1.24676,-2.01876,-2.54656,-0.165469,3.6924,-0.196546
1.99187,-1.7286,-1.94613,-2.41008,-1.11553,3.7156,-0.0454486
1.89218,-1.03791,-2.2285,-2.6159,-1.13918,3.59691,0.512247
1.93661,-0.6404,-2.30484,-2.58421,-1.0104,3.73617,0.76325
1.98313,-1.74628,-1.92635,-2.008,-1.84814,3.74006,0.767652
2.01535,-1.75373,-2.01713,-2.02338,-1.91517,3.4533,0.818521
2.02566,-1.75463,-1.91212,-1.9489,-2.24695,3.56906,0.700593
1.72716,-1.5215,-1.92498,-2.06409,-2.27,3.57016,0.699954
1.4301,-1.54196,-2.02213,-2.06279,-2.26932,3.57468,0.583673
1.4302,-1.5444,-2.03383,-2.06805,-2.1473,3.56919,0.590118
1.4202,-1.56244,-2.09004,-2.05202,-2.05895,3.56916,0.590771
1.38311,-1.51882,-2.03778,-2.13928,-2.02264,3.34696,0.7227
